,ano,mes,valor,substancia,uf
272,2020,10,13859337.000000000000000000,FERRO,MG
273,2020,12,1537197.400000000000000000,FERRO,MS
274,2020,9,13195907.000000000000000000,FERRO,MG
275,2020,12,982.038760000000000000,FERRO,RJ
276,2020,3,124604.520000000000000000,FERRO,MA
277,2020,7,63.653990000000000000,FERRO,MG
278,2020,8,105567.490000000000000000,FERRO,MG
279,2020,4,392119.720000000000000000,FERRO,MG
280,2020,1,420.236300000000000000,FERRO,ES
281,2020,1,168014.610000000000000000,FERRO,RJ
282,2020,8,479460.470000000000000000,FERRO,MA
283,2020,3,10117.469000000000000000,FERRO,ES
284,2020,2,474463.720000000000000000,FERRO,RJ
285,2020,1,64948.234000000000000000,FERRO,MA
286,2020,11,39110.520000000000000000,FERRO,MG
287,2020,2,30826.965000000000000000,FERRO,MG
288,2020,6,156.751000000000000000,FERRO,PB
289,2020,12,1155044.900000000000000000,FERRO,MA
290,2020,8,284198.300000000000000000,FERRO,CE
291,2020,1,14527.476000000000000000,FERRO,MG
292,2020,8,24376.016000000000000000,FERRO,CE
293,2020,2,3351228.500000000000000000,FERRO,MG
294,2020,6,612.698200000000000000,FERRO,MG
295,2020,12,1.219190000000000000,FERRO,RS
296,2020,3,9321.725000000000000000,FERRO,MS
297,2020,12,9.344021000000000000,FERRO,CE
298,2020,1,852699.750000000000000000,FERRO,MG
299,2020,6,103725.950000000000000000,FERRO,RJ
300,2020,7,257286.440000000000000000,FERRO,MA
301,2020,3,66298.280000000000000000,FERRO,MG
302,2020,11,81886.016000000000000000,FERRO,MG
303,2020,3,105326.700000000000000000,FERRO,MG
304,2020,7,64.447230000000000000,FERRO,MG
305,2020,1,31839.645000000000000000,FERRO,MG
306,2020,8,69.759030000000000000,FERRO,RJ
307,2020,9,5831.186500000000000000,FERRO,MG
308,2020,12,78721.445000000000000000,FERRO,MG
309,2020,11,14.173399000000000000,FERRO,MG
310,2020,6,78327.200000000000000000,FERRO,MG
311,2020,5,64363.340000000000000000,FERRO,MG
312,2020,12,451107.840000000000000000,FERRO,MG
313,2020,5,50181.688000000000000000,FERRO,RJ
314,2020,9,4.510025000000000000,FERRO,CE
315,2020,11,0.526113000000000000,FERRO,PR
316,2020,8,11608353.000000000000000000,FERRO,MG
317,2020,11,67475.720000000000000000,FERRO,MG
318,2020,6,264490.220000000000000000,FERRO,MA
319,2020,1,110037.805000000000000000,FERRO,MA
320,2020,1,55977.418000000000000000,FERRO,MG
321,2020,9,89675.420000000000000000,FERRO,MG
322,2020,4,4428.588000000000000000,FERRO,MG
323,2020,9,20777.412000000000000000,FERRO,MG
324,2020,1,490050.060000000000000000,FERRO,RJ
325,2020,7,145885.270000000000000000,FERRO,MG
326,2020,12,448122.970000000000000000,FERRO,MG
327,2020,8,75806.555000000000000000,FERRO,RJ
328,2020,8,170.350070000000000000,FERRO,MG
329,2020,10,40174.242000000000000000,FERRO,PB
330,2020,5,4008.744600000000000000,FERRO,MG
331,2020,10,29041.016000000000000000,FERRO,RJ
332,2020,7,74430.164000000000000000,FERRO,MG
333,2020,3,38578.970000000000000000,FERRO,MG
334,2020,11,1729592.900000000000000000,FERRO,MG
335,2020,3,92514.160000000000000000,FERRO,MG
336,2020,11,23976.389000000000000000,FERRO,MG
337,2020,7,20.736673000000000000,FERRO,MG
338,2020,11,203775.360000000000000000,FERRO,MG
339,2020,1,1.617153000000000000,FERRO,RS
340,2020,9,68872.586000000000000000,FERRO,MG
341,2020,1,3116.182100000000000000,FERRO,RJ
342,2020,8,67845.586000000000000000,FERRO,RJ
343,2020,11,910.156250000000000000,FERRO,MG
344,2020,10,30.156860000000000000,FERRO,RS
345,2020,6,0.229178000000000000,FERRO,RS
346,2020,8,20.466864000000000000,FERRO,MG
347,2020,12,1804662.400000000000000000,FERRO,MG
348,2020,7,298839.970000000000000000,FERRO,RJ
349,2020,4,1985615.400000000000000000,FERRO,MG
350,2020,10,6560685.500000000000000000,FERRO,AP
351,2020,8,2657550.500000000000000000,FERRO,MA
352,2020,11,1487557.100000000000000000,FERRO,MG
353,2020,9,4527.067000000000000000,FERRO,MG
354,2020,12,228.615480000000000000,FERRO,MG
355,2020,9,1229.642100000000000000,FERRO,SC
356,2020,12,121035.130000000000000000,FERRO,AL
357,2020,11,329671.000000000000000000,FERRO,MA
358,2020,12,304369.300000000000000000,FERRO,MG
359,2020,5,263594.220000000000000000,FERRO,MG
360,2020,5,291667.970000000000000000,FERRO,ES
361,2020,8,6753.193400000000000000,FERRO,MG
362,2020,2,84056.100000000000000000,FERRO,RJ
363,2020,7,528567.600000000000000000,FERRO,MG
364,2020,5,61166.855000000000000000,FERRO,MA
365,2020,6,51310.223000000000000000,FERRO,MA
366,2020,6,635.586000000000000000,FERRO,MG
367,2020,9,25.666260000000000000,FERRO,MG
368,2020,7,38.593925000000000000,FERRO,MG
369,2020,8,145151.190000000000000000,FERRO,BA
370,2020,5,107998.930000000000000000,FERRO,RJ
371,2020,6,866393.750000000000000000,FERRO,MA
372,2020,4,11203.757000000000000000,FERRO,MG
373,2020,1,129754.510000000000000000,FERRO,RJ
374,2020,3,79418.980000000000000000,FERRO,MG
375,2020,1,3321871.800000000000000000,FERRO,MG
376,2020,9,26177.312000000000000000,FERRO,MG
377,2020,3,47345.203000000000000000,FERRO,MG
378,2020,8,64316.074000000000000000,FERRO,CE
379,2020,3,140603.610000000000000000,FERRO,MG
380,2020,10,3.407158000000000000,FERRO,CE
381,2020,7,170137.230000000000000000,FERRO,MG
382,2020,3,106009.730000000000000000,FERRO,MG
383,2020,6,248706.530000000000000000,FERRO,ES
384,2020,11,269776.100000000000000000,FERRO,MG
385,2020,10,163181.480000000000000000,FERRO,MA
386,2020,8,3.664330000000000000,FERRO,PA
387,2020,6,37670.430000000000000000,FERRO,MG
388,2020,8,285570.440000000000000000,FERRO,SP
389,2020,10,146546.860000000000000000,FERRO,MG
390,2020,12,617120.000000000000000000,FERRO,RJ
391,2020,12,2991619.200000000000000000,FERRO,MT
392,2020,9,264.934970000000000000,FERRO,PB
393,2020,9,76715.625000000000000000,FERRO,RJ
394,2020,6,37499.812000000000000000,FERRO,MG
395,2020,9,143322.190000000000000000,FERRO,MG
396,2020,6,124593.090000000000000000,FERRO,MG
397,2020,5,54201.992000000000000000,FERRO,MA
398,2020,6,1.533176000000000000,FERRO,CE
399,2020,11,31042.734000000000000000,FERRO,MG
400,2020,12,2209284.000000000000000000,FERRO,MG
401,2020,5,73405.195000000000000000,FERRO,RJ
402,2020,9,170606.190000000000000000,FERRO,MG
403,2020,10,201206.360000000000000000,FERRO,RJ
404,2020,3,355613.470000000000000000,FERRO,MG
405,2020,7,993.470950000000000000,FERRO,SC
406,2020,5,3694684.500000000000000000,FERRO,MG
407,2020,8,499001.620000000000000000,FERRO,BA
408,2020,7,20170.195000000000000000,FERRO,MG
409,2020,12,3259.436300000000000000,FERRO,MG
410,2020,9,23.384150000000000000,FERRO,MG
411,2020,7,21186.781000000000000000,FERRO,MG
412,2020,6,15.546472000000000000,FERRO,RS
413,2020,3,156344.920000000000000000,FERRO,MA
414,2020,8,12145.987000000000000000,FERRO,MG
415,2020,3,164660.120000000000000000,FERRO,MG
416,2020,4,105114.700000000000000000,FERRO,MA
417,2020,12,458322.250000000000000000,FERRO,MG
418,2020,10,181030.050000000000000000,FERRO,RJ
419,2020,6,30558.799000000000000000,FERRO,MG
420,2020,3,32700.268000000000000000,FERRO,MG
421,2020,1,126842.050000000000000000,FERRO,MA
422,2020,11,61493.984000000000000000,FERRO,MG
423,2020,11,77167.375000000000000000,FERRO,MG
424,2020,5,80043.450000000000000000,FERRO,RJ
425,2020,3,49153.990000000000000000,FERRO,MA
426,2020,12,43.231170000000000000,FERRO,MG
427,2020,5,453938.200000000000000000,FERRO,MG
428,2020,8,3.396615000000000000,FERRO,MG
429,2020,3,237885.170000000000000000,FERRO,MA
430,2020,2,37069.910000000000000000,FERRO,MG
431,2020,4,392949.700000000000000000,FERRO,MA
432,2020,6,4.466294000000000000,FERRO,CE
433,2020,12,1287.964800000000000000,FERRO,MS
434,2020,12,552.063960000000000000,FERRO,RJ
435,2020,11,189749.250000000000000000,FERRO,ES
436,2020,8,116116.160000000000000000,FERRO,MG
437,2020,6,21830.275000000000000000,FERRO,MS
438,2020,11,314623.700000000000000000,FERRO,MG
